City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Pangkalanbuun,ID,-2.68,111.62,86.36,70,100,4.99,moderate rain
198,Lompoc,US,34.64,-120.46,62.6,77,90,4.07,overcast clouds
199,Dalvik,IS,65.97,-18.53,39.2,86,90,12.75,overcast clouds
200,Saint-Pierre,RE,-21.34,55.48,82.4,51,0,25.28,clear sky
201,Severo-Kurilsk,RU,50.68,156.12,45.32,80,6,7.11,clear sky
202,Shimoda,JP,34.67,138.95,66.2,52,20,6.93,few clouds
203,Norman Wells,CA,65.28,-126.83,3.2,84,40,2.24,scattered clouds
204,Tessalit,ML,20.2,1.01,78.69,16,0,9.98,clear sky
205,Provideniya,RU,64.38,-173.3,32.77,91,9,7.74,clear sky
206,Acapulco,MX,16.86,-99.89,79.79,84,43,5.73,scattered clouds
207,Vlasotince,RS,42.96,22.12,53.01,93,40,2.62,light rain
208,Vanavara,RU,60.34,102.28,30.54,92,100,5.1,overcast clouds
209,Pilar,BR,-9.6,-35.96,71.6,94,20,2.24,few clouds
210,Mitsamiouli,KM,-11.38,43.28,80.74,73,13,13.8,few clouds
211,Phalombe,MW,-15.81,35.65,83.77,40,16,5.5,few clouds
212,Zhuhai,CN,22.28,113.57,88,69,0,11.41,clear sky
213,Alofi,NU,-19.06,-169.92,77,83,100,16.11,overcast clouds
214,Salym,RU,60.06,71.48,28.4,97,100,11.65,overcast clouds
215,Heihe,CN,50.24,127.49,51.8,34,0,13.42,clear sky
216,Sulphur,US,30.24,-93.38,57.99,100,90,6.93,overcast clouds
217,Atikokan,CA,48.76,-91.62,21.51,95,34,4.12,scattered clouds
218,Esperance,AU,-33.87,121.9,75.2,33,40,8.05,scattered clouds
219,Sohag,EG,26.56,31.69,68,42,0,3.36,clear sky
220,Holme,DK,56.11,10.17,55.99,87,100,10.29,overcast clouds
221,Buta,CD,2.79,24.73,76.39,87,100,2.24,overcast clouds
222,Upernavik,GL,72.79,-56.15,17.96,86,0,8.05,clear sky
223,Faanui,PF,-16.48,-151.75,79.45,75,73,4.43,light rain
224,Dingle,PH,11,122.67,77.49,91,100,3.85,light rain
225,Feijo,BR,-8.16,-70.35,74.66,87,17,2.71,few clouds
226,Meshcherino,RU,55.2,38.36,45,87,0,4.47,clear sky
227,Guerrero Negro,MX,27.98,-114.06,65.35,87,23,13.58,few clouds
228,Biltine,TD,14.53,20.92,81.45,22,8,16.4,clear sky
229,Karaton,ID,-6.34,106.1,89.01,66,40,11.41,light rain
230,Victoria,HK,22.29,114.16,79,59,99,1.01,overcast clouds
231,Deputatskiy,RU,69.3,139.9,8.15,88,20,6.78,few clouds
232,Longyearbyen,SJ,78.22,15.64,23,85,75,4.7,broken clouds
233,Narsaq,GL,60.92,-46.05,28.4,68,100,4.7,overcast clouds
234,Luancheng,CN,37.88,114.65,68,32,76,4.47,haze
235,San Quintin,MX,30.48,-115.95,65.8,76,100,9.46,overcast clouds
236,Blagoyevo,RU,63.37,47.92,29.71,97,97,5.57,overcast clouds
237,Luderitz,NA,-26.65,15.16,71.4,39,95,17.52,overcast clouds
238,Tiksi,RU,71.69,128.87,8.51,90,100,28.16,overcast clouds
239,Leningradskiy,RU,69.38,178.42,23.07,89,0,9.35,clear sky
240,Swan River,CA,52.11,-101.27,18,94,100,6.62,overcast clouds
241,Putnok,HU,48.3,20.43,52.88,95,100,2.64,moderate rain
242,Asfi,MA,32.3,-9.24,61.23,86,0,12.55,clear sky
243,Ayagoz,KZ,47.97,80.44,39.2,68,19,15.08,few clouds
244,Springdale,US,36.19,-94.13,44.6,93,90,5.82,mist
245,Neuquen,AR,-38.95,-68.06,53.85,42,0,28.83,clear sky
246,Aksha,RU,50.28,113.29,44.94,57,6,7.52,clear sky
247,Kavieng,PG,-2.57,150.8,84.24,72,46,8.46,scattered clouds
248,La Ronge,CA,55.1,-105.28,23,57,90,10.29,light snow
249,Sikeston,US,36.88,-89.59,50,76,90,5.82,overcast clouds
250,Ormara,PK,25.21,64.64,85.05,32,0,11.14,clear sky
251,Itoman,JP,26.12,127.67,77,50,75,10.29,broken clouds
252,Asau,RO,46.43,26.4,54,98,100,3.27,overcast clouds
253,Wajir,KE,1.75,40.06,82.62,53,95,13.27,overcast clouds
254,Westport,US,41.14,-73.36,45,81,100,13.02,overcast clouds
255,Jonkoping,SE,57.78,14.16,50,100,100,13.87,overcast clouds
256,Northam,GB,51.03,-4.22,46.99,90,100,16.4,light rain
257,Ntchisi,MW,-13.53,33.91,73.4,49,20,13.87,few clouds
258,Brignoles,FR,43.4,6.07,60.01,93,0,2.24,clear sky
259,Tahta,EG,26.77,31.5,68,42,0,3.36,clear sky
260,Novomikhaylovskiy,RU,44.26,38.86,70.5,35,95,2.13,overcast clouds
261,Sosva,RU,59.18,61.86,31.95,98,100,1.61,overcast clouds
262,Carutapera,BR,-1.2,-46.02,75.07,89,65,4.07,broken clouds
263,Palmer,US,42.16,-72.33,42.8,73,1,5.82,clear sky
264,Santa Maria,BR,-29.68,-53.81,64.47,95,8,4.12,clear sky
265,Pemangkat,ID,1.17,108.97,84.79,68,1,10.78,light rain
266,Strezhevoy,RU,60.73,77.59,23,79,20,15.66,few clouds
267,Kutum,SD,14.2,24.67,73.8,28,0,16.69,clear sky
268,Ust-Kuyga,RU,70.02,135.6,10.35,90,100,8.41,overcast clouds
269,Erbaa,TR,40.67,36.57,59,82,20,4.7,few clouds
270,Bilma,NE,18.69,12.92,72.64,25,0,18.19,clear sky
271,Yenagoa,NG,4.92,6.26,77,90,100,7.49,light rain
272,Powell River,CA,49.85,-124.54,39.2,44,5,5.82,clear sky
273,Hambantota,LK,6.12,81.12,93.2,56,20,8.05,few clouds
274,Zistersdorf,AT,48.53,16.75,51.01,93,0,2.13,clear sky
275,Sancti Spiritus,CU,21.93,-79.44,74.39,95,100,11.43,light rain
276,Talnakh,RU,69.49,88.4,8.6,92,40,8.95,scattered clouds
277,Zhezkazgan,KZ,47.8,67.71,41.38,64,100,16.75,overcast clouds
278,Bierbeek,BE,50.83,4.76,53.6,93,100,11.41,light rain
279,Kieta,PG,-6.22,155.63,78.17,86,100,13.6,moderate rain
280,Srednekolymsk,RU,67.45,153.68,15.42,95,89,3.04,overcast clouds
281,Blackfoot,US,43.19,-112.34,21.99,74,98,10,light rain
282,Shelburne,CA,44.08,-80.2,37,94,75,2.48,broken clouds
283,Pacific Grove,US,36.62,-121.92,60.8,82,90,0.92,overcast clouds
284,Biak,ID,-0.91,122.88,84.67,67,27,5.37,scattered clouds
285,Durango,MX,24.83,-104.83,59.4,56,0,5.01,clear sky
286,Tomatlan,MX,19.93,-105.25,77.18,96,60,0.67,broken clouds
287,Goderich,CA,43.75,-81.72,37.99,86,100,5.1,overcast clouds
288,Marsaxlokk,MT,35.84,14.54,68,72,20,10.29,few clouds
289,Vanderhoof,CA,54.02,-124.02,14.38,92,0,1.97,clear sky
290,College,US,64.86,-147.8,28,79,75,2.68,broken clouds
291,Mayo,US,38.89,-76.51,57,62,90,11.41,overcast clouds
292,Belozerskoye,RU,55.82,65.58,42.28,90,100,10.42,overcast clouds
293,Tsabong,BW,-26.02,22.4,91.42,17,52,15.52,broken clouds
294,Alice Town,BS,25.72,-79.3,77.63,86,100,5.35,very heavy rain
295,Qaanaaq,GL,77.48,-69.36,18.25,90,85,11.74,overcast clouds
296,Clyde River,CA,70.47,-68.59,14,92,1,16.11,clear sky
297,Touros,BR,-5.2,-35.46,73.4,94,40,3.36,scattered clouds
298,Dunedin,NZ,-45.87,170.5,54,86,100,17,overcast clouds
299,Cherskiy,RU,68.75,161.3,12.25,96,70,3.18,broken clouds
300,Mecca,SA,21.43,39.83,90.32,32,0,9.69,clear sky
301,Naze,JP,28.37,129.48,75.2,56,40,11.41,scattered clouds
302,Dakar,SN,14.69,-17.44,82.4,88,0,11.41,clear sky
303,Ponta Delgada,PT,37.73,-25.67,62.6,77,40,5.82,scattered clouds
304,Gizo,SB,-8.1,156.84,83.91,73,100,6.11,moderate rain
305,Yalova,TR,40.66,29.28,62.6,88,40,5.82,mist
306,Durban,ZA,-29.86,31.03,75,78,75,10.29,broken clouds
307,Anahuac,MX,27.23,-100.15,67.68,78,0,11.63,clear sky
308,Qostanay,KZ,53.17,63.58,46.4,93,0,11.18,clear sky
309,Kaeo,NZ,-35.1,173.78,64,81,2,3,clear sky
310,Pajapan,MX,18.25,-94.7,74.07,90,100,4.92,overcast clouds
311,Saint-Georges,GD,12.06,-61.75,78.8,88,75,23.04,light intensity shower rain
312,Kruisfontein,ZA,-34,24.73,69.01,77,100,7,overcast clouds
313,Cap Malheureux,MU,-19.98,57.61,77,74,41,11.99,light rain
314,Vila Do Maio,CV,15.13,-23.22,78.8,74,0,18.34,clear sky
315,Iqaluit,CA,63.75,-68.51,21.2,62,40,6.93,scattered clouds
316,Aprelevka,RU,55.55,37.08,43,86,75,4.47,light rain
317,Mao,ES,39.89,4.27,66.2,72,20,12.75,few clouds
318,Anadyr,RU,64.75,177.48,24.8,100,90,2.24,overcast clouds
319,Jizan,SA,17.33,42.67,89.6,70,20,5.82,few clouds
320,Lazaro Cardenas,MX,17.96,-102.2,79.81,89,26,4.14,light rain
321,Liverpool,GB,53.41,-2.98,46.4,87,40,13.87,shower rain
322,Selma,US,36.57,-119.61,64.4,66,75,5.1,broken clouds
323,Ashtarak,AM,40.3,44.36,59,44,0,1.12,clear sky
324,Carora,VE,10.18,-70.08,73.38,82,100,2.62,overcast clouds
325,Hualmay,PE,-11.1,-77.61,61.29,87,65,7.45,broken clouds
326,Da Nang,VN,16.07,108.22,77,78,75,2.24,broken clouds
327,Lata,PT,40.16,-8.33,63,91,100,4,overcast clouds
328,Nanortalik,GL,60.14,-45.24,31.89,92,100,9.51,overcast clouds
329,Ballangen,NO,68.34,16.83,37.99,92,97,17.22,overcast clouds
330,San Francisco,US,37.77,-122.42,57.99,82,75,6.93,broken clouds
331,Grants,US,35.15,-107.85,48.2,36,1,11.12,clear sky
332,Juneau,US,58.3,-134.42,35.01,79,90,1.86,overcast clouds
333,Ilulissat,GL,69.22,-51.1,15.8,61,0,2.24,clear sky
334,Jinka,ET,5.65,36.65,74.05,69,0,3.74,light rain
335,Bouna,CI,9.27,-3,73.98,79,83,3.98,broken clouds
336,Vila Velha,BR,-20.33,-40.29,71.6,88,90,9.17,light rain
337,Aklavik,CA,68.22,-135.01,12.2,78,20,2.24,few clouds
338,Santa Marta,CO,11.24,-74.2,81,77,100,1.01,moderate rain
339,Tukrah,LY,32.53,20.58,71.78,59,0,9.28,clear sky
340,Venezuela,VE,8,-66,76.98,85,49,7.67,light rain
341,Pomichna,UA,48.24,31.42,54.88,81,100,7.27,overcast clouds
342,Victor Harbor,AU,-35.57,138.62,55,70,25,4,scattered clouds
343,Honningsvag,NO,70.98,25.97,40.68,70,98,12.91,overcast clouds
344,Pimenta Bueno,BR,-11.67,-61.19,73.13,95,100,3.91,heavy intensity rain
345,Artyom,AZ,40.47,50.33,71.6,73,20,13.87,few clouds
346,Gelibolu,TR,40.41,26.67,71.01,82,0,2.24,clear sky
347,Beinamar,TD,8.67,15.38,78.46,66,100,2.46,overcast clouds
348,Baruun-Urt,MN,46.68,113.28,50.49,40,0,1.92,clear sky
349,Pisco,PE,-13.7,-76.22,60.01,87,11,2.24,few clouds
350,Nokaneng,BW,-19.67,22.27,88.72,18,34,7.87,scattered clouds
351,Rio Pardo De Minas,BR,-15.61,-42.54,66.43,90,100,0.96,overcast clouds
352,Sikonge,TZ,-5.63,32.77,75.2,57,75,17.22,broken clouds
353,Port-Cartier,CA,50.03,-66.87,35.01,90,20,2.24,few clouds
