City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Dingle,PH,77.49,light rain,11.0,122.67,Camp Pasica
228,Biltine,TD,81.45,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
229,Karaton,ID,89.01,light rain,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
230,Victoria,HK,79.0,overcast clouds,22.29,114.16,Mini Hotel Central
247,Kavieng,PG,84.24,scattered clouds,-2.57,150.8,Nusa Island Retreat
250,Ormara,PK,85.05,clear sky,25.21,64.64,
251,Itoman,JP,77.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
253,Wajir,KE,82.62,overcast clouds,1.75,40.06,Al- Amin lodge
262,Carutapera,BR,75.07,broken clouds,-1.2,-46.02,Lidera
265,Pemangkat,ID,84.79,light rain,1.17,108.97,Kost H.Syamsuddin
271,Yenagoa,NG,77.0,light rain,4.92,6.26,Amba Hotels Limited
279,Kieta,PG,78.17,moderate rain,-6.22,155.63,
284,Biak,ID,84.67,scattered clouds,-0.91,122.88,Kost Ariz
286,Tomatlan,MX,77.18,broken clouds,19.93,-105.25,Norma franco
294,Alice Town,BS,77.63,very heavy rain,25.72,-79.3,Bimini Big Game Club Resort & Marina
301,Naze,JP,75.2,scattered clouds,28.37,129.48,奄美ポートタワーホテル
302,Dakar,SN,82.4,clear sky,14.69,-17.44,Novotel Dakar
304,Gizo,SB,83.91,moderate rain,-8.1,156.84,Imagination Island
306,Durban,ZA,75.0,broken clouds,-29.86,31.03,Hilton Durban
311,Saint-Georges,GD,78.8,light intensity shower rain,12.06,-61.75,Siesta Hotel
313,Cap Malheureux,MU,77.0,light rain,-19.98,57.61,Pereybere Hotel & Spa
314,Vila Do Maio,CV,78.8,clear sky,15.13,-23.22,Residence 'I Delfini'
319,Jizan,SA,89.6,few clouds,17.33,42.67,شهدان. ابوالحجر
320,Lazaro Cardenas,MX,79.81,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
326,Da Nang,VN,77.0,broken clouds,16.07,108.22,Grand Mercure Danang
338,Santa Marta,CO,81.0,moderate rain,11.24,-74.2,Hotel La Ballena Azul
340,Venezuela,VE,76.98,light rain,8.0,-66.0,
347,Beinamar,TD,78.46,overcast clouds,8.67,15.38,
350,Nokaneng,BW,88.72,scattered clouds,-19.67,22.27,
352,Sikonge,TZ,75.2,broken clouds,-5.63,32.77,Daukilo Lodge
364,Bridgetown,BB,82.4,few clouds,13.1,-59.62,Hilton Barbados Resort
366,Vanimo,PG,84.24,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
371,Thinadhoo,MV,83.68,few clouds,0.53,72.93,
377,Palembang,ID,87.8,scattered clouds,-2.92,104.75,ASTON Palembang Hotel & Conference Center
384,Pathein,MM,86.83,overcast clouds,16.78,94.73,Pathein Hotel
388,Arlit,NE,75.33,clear sky,18.74,7.39,Hôtel Telwa Bungalow
392,Wewak,PG,83.79,overcast clouds,-3.55,143.63,In Wewak Boutique Hotel
394,Sola,VU,84.2,broken clouds,-13.88,167.55,Ulkel Guest House
402,Supaul,IN,88.45,few clouds,26.12,86.6,Honey Rest House
406,Quatre Cocos,MU,78.8,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
407,Kaohsiung,TW,84.2,broken clouds,22.62,120.31,Kindness Hotel
411,Tamandare,BR,75.06,clear sky,-8.76,-35.1,Pousada 100 Passos
413,Barra Patuca,HN,76.39,light rain,15.8,-84.28,
414,Les Cayes,HT,78.57,overcast clouds,18.2,-73.75,Villa Orphee
422,Puerto Escondido,MX,79.02,light rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
431,Souillac,MU,78.8,shower rain,-20.52,57.52,Bils' Villa
